title,country,genre,director,actors
Пролетая над гнездом кукушки,США, драма,Милош Форман,"Джек Николсон, Луиза Флетчер"
Убойные каникулы,Канада, комедия,Илай Крэйг,"Тайлер Лабин, Алан Тьюдик"
Мальчик в полосатой пижаме,Великобритания, драма,Марк Херман,"Эйса Баттерфилд, Джек Скэнлон"
Большая игра,США, биография,Аарон Соркин,"Джессика Честейн, Идрис Эльба"
Один день,США, драма,Лоне Шерфиг,"Энн Хэтэуэй, Джим Стёрджесс"
Гарри Поттер и Принц-полукровка,Великобритания, фэнтези,Дэвид Йейтс,"Дэниэл Рэдклифф, Руперт Гринт"
Покровские ворота,СССР, мюзикл,Михаил Козаков,"Олег Меньшиков, Леонид Броневой"
Терминатор,США, фантастика,Джеймс Кэмерон,"Арнольд Шварценеггер, Майкл Бин"
Пираты Карибского моря: На краю света,США, приключения,Гор Вербински,"Джонни Депп, Джеффри Раш"
Отель «Гранд Будапешт»,США, комедия,Уэс Андерсон,"Рэйф Файнс, Тони Револори"
Хранители,США, фантастика,Зак Снайдер,"Патрик Уилсон, Мэттью Гуд"
Человек-паук,США, фантастика,Сэм Рэйми,"Тоби Магуайр, Уиллем Дефо"
Оппенгеймер,США, биография,Кристофер Нолан,"Киллиан Мерфи, Эмили Блант"
Ученик чудовища,Япония, аниме,Мамору Хосода,"Сёта Сомэтани, Кодзи Якусё"
Приходи на меня посмотреть,Россия, мелодрама,Михаил Агранович,"Олег Янковский, Ирина Купченко"
Выстрел в пустоту,США, криминал,Рик Роман Во,"Николай Костер-Вальдау, Омари Хардвик"
Прислуга,США, драма,Тейт Тейлор,"Эмма Стоун, Виола Дэвис"
Собачья жизнь,США, фэнтези,Лассе Халльстрём,"Джош Гэд, Деннис Куэйд"
Землетрясение,Китай, драма,Фэн Сяоган,"Сюй Фань, Чжан Цзинчу"
Лицо со шрамом,США, драма,Брайан Де Пальма,"Аль Пачино, Стивен Бауэр"
Двухсотлетний человек,Германия, фантастика,Крис Коламбус,"Робин Уильямс, Эмбет Дэвидц"
Город бога,Бразилия, драма,Фернанду Мейреллиш,"Алешандре Родригис, Леандру Фирмину"
Константин: Повелитель тьмы,США, фэнтези,Фрэнсис Лоуренс,"Киану Ривз, Рэйчел Вайс"
Грань будущего,США, фантастика,Даг Лайман,"Том Круз, Эмили Блант"
Нечто,США, ужасы,Джон Карпентер,"Курт Рассел, Кит Дэвид"
Летят журавли,СССР, военный,Михаил Калатозов,"Татьяна Самойлова, Алексей Баталов"
День сурка,США, фэнтези,Харольд Рэмис,"Билл Мюррей, Энди Макдауэлл"
Один дома 2: Затерянный в Нью-Йорке,США, комедия,Крис Коламбус,"Маколей Калкин, Джо Пеши"
Сталкер,СССР, фантастика,Андрей Тарковский,"Александр Кайдановский, Анатолий Солоницын"
Шестое чувство,США, детектив,М. Найт Шьямалан,"Брюс Уиллис, Хейли Джоэл Осмент"
Чего хотят женщины,США, мелодрама,Нэнси Майерс,"Мэл Гибсон, Хелен Хант"
Гарри Поттер и Дары Смерти: Часть I,Великобритания, фэнтези,Дэвид Йейтс,"Дэниэл Рэдклифф, Руперт Гринт"
Приключения Шерлока Холмса и доктора Ватсона: Охота на тигра,СССР, криминал,Игорь Масленников,"Василий Ливанов, Виталий Соломин"
Цельнометаллическая оболочка,Великобритания, драма,Стэнли Кубрик,"Мэттью Модайн, Адам Болдуин"
Человек с бульвара Капуцинов,СССР, вестерн,Алла Сурикова,"Андрей Миронов, Александра Яковлева"
Воин,США, драма,Гэвин О’Коннор,"Джоэл Эдгертон, Том Харди"
Невидимый гость,Испания, триллер,Ориол Паоло,"Марио Касас, Ана Вахенер"
Экипаж,Россия, драма,Николай Лебедев,"Данила Козловский, Владимир Машков"
Убить Билла 2,США, боевик,Квентин Тарантино,"Ума Турман, Дэвид Кэрредин"
Кот в сапогах 2: Последнее желание,США, мультфильм,Джоэль Кроуфорд,"Антонио Бандерас, Сальма Хайек"
Семьянин,США, фэнтези,Бретт Рэтнер,"Николас Кейдж, Теа Леони"
Мементо,США, триллер,Кристофер Нолан,"Гай Пирс, Кэрри-Энн Мосс"
Сплетение судеб,Франция, драма,Летиция Коломбани,"Мия Мельцер, Саджда Патхан"
"Знакомьтесь, Джо Блэк",США, мелодрама,Мартин Брест,"Брэд Питт, Энтони Хопкинс"
Хоккейные папы,Россия, спорт,Андрей Булатов,"Алексей Бардуков, Аня Чиповская"
Спасти рядового Райана,США, военный,Стивен Спилберг,"Том Хэнкс, Том Сайзмор"
Васаби,Франция, боевик,Жерар Кравчик,"Жан Рено, Рёко Хиросуэ"
